Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Chain,Protein per 100 Cal,Category,Size
"Bacon, Egg & Cheese Biscuit",420.0,23.0,11.0,0.0,180.0,1220,38,2.0,4.0,15,Chick-Fil-A,3.571428571428571,['Breakfast'],N/A
"Bacon, Egg & Cheese Muffin",300.0,13.0,6.0,0.0,180.0,780,28,1.0,2.0,16,Chick-Fil-A,5.333333333333334,['Breakfast'],N/A
Berry Parfait with Cookie Crumbs,240.0,8.0,3.5,0.0,20.0,85,31,1.0,25.0,12,Chick-Fil-A,5.0,['Dessert'],N/A
Berry Parfait with Granola,270.0,9.0,3.5,0.0,20.0,85,35,1.0,26.0,13,Chick-Fil-A,4.814814814814815,['Other'],N/A
Buttery Biscuit,290.0,15.0,6.0,0.0,0.0,760,37,2.0,4.0,4,Chick-Fil-A,1.3793103448275863,['Other'],N/A
"Chick-fil-A Chick-n-Minis, 4 ct",360.0,13.0,4.0,0.0,60.0,1060,41,2.0,8.0,20,Chick-Fil-A,5.555555555555555,['Chicken'],N/A
"Chick-fil-A Chick-n-Minis, 10 ct",910.0,34.0,10.0,0.0,150.0,2640,103,6.0,19.0,49,Chick-Fil-A,5.384615384615385,"['Chicken', 'Combo']",N/A
"Chick-fil-A Chick-n-Minis Football-Shaped Tray, 10 ct",910.0,34.0,10.0,0.0,150.0,2640,103,6.0,19.0,49,Chick-Fil-A,5.384615384615385,"['Chicken', 'Side', 'Combo']",N/A
Chick-fil-A Chicken Biscuit,460.0,23.0,8.0,0.0,45.0,1510,45,2.0,6.0,19,Chick-Fil-A,4.130434782608695,['Chicken'],N/A
"Chicken, Egg & Cheese Biscuit",550.0,28.0,12.0,0.0,215.0,1870,48,3.0,7.0,27,Chick-Fil-A,4.909090909090909,"['Chicken', 'Breakfast']",N/A
"Chicken, Egg & Cheese Muffin",410.0,18.0,6.0,0.0,215.0,1320,36,1.0,4.0,27,Chick-Fil-A,6.585365853658537,"['Chicken', 'Breakfast']",N/A
Egg White Grill,300.0,8.0,4.0,0.0,65.0,990,29,1.0,2.0,27,Chick-Fil-A,9.0,['Breakfast'],N/A
English Muffin,140.0,1.0,0.0,0.0,0.0,190,27,1.0,1.0,5,Chick-Fil-A,3.571428571428571,['Other'],N/A
